price_usd,price_byn,subway_stat,rooms_num,publication_date
350 $,1 112 BYN,Пушкинская,2комнаты,4мая
400 $,1 271 BYN,Кунцевщина,1комната,3мая
305 $,970 BYN,Партизанская,3комнаты,2мая
582 $,1 850 BYN,ПлощадьЛенина,1комната,2мая
563 $,1 790 BYN,ПлощадьПобеды,2комнаты,2мая
299 $,950 BYN,ПлощадьПобеды,2комнаты,1мая
350 $,1 112 BYN,Курасовщина,3комнаты,1мая
290 $,921 BYN,Могилёвская,1комната,30апр.
307 $,975 BYN,Спортивная,2комнаты,30апр.
386 $,1 225 BYN,Спортивная,1комната,29апр.
80 $,254 BYN,Каменнаягорка,3комнаты,29апр.
370 $,1 175 BYN,КовальскаяСлобода,1комната,28апр.
250 $,794 BYN,Академиянаук,1комната,27апр.
230 $,731 BYN,Могилёвская,1комната,27апр.
390 $,1 239 BYN,Грушевка,1комната,26апр.
164 $,520 BYN,,1комната,26апр.
236 $,750 BYN,Могилёвская,2комнаты,26апр.
350 $,1 112 BYN,Пролетарская,2комнаты,25апр.
350 $,1 112 BYN,Курасовщина,1комната,25апр.
275 $,874 BYN,Каменнаягорка,1комната,25апр.
350 $,1 112 BYN,ПлощадьЛенина,1комната,25апр.
400 $,1 271 BYN,Малиновка,1комната,24апр.
240 $,762 BYN,Фрунзенская,1комната,24апр.
300 $,953 BYN,Уручье,1комната,24апр.
300 $,953 BYN,КовальскаяСлобода,1комната,24апр.
69 $,220 BYN,Малиновка,1комната,24апр.
173 $,550 BYN,Партизанская,1комната,23апр.
220 $,699 BYN,Могилёвская,1комната,23апр.
370 $,1 175 BYN,Грушевка,2комнаты,22апр.
640 $,2 032 BYN,Институткультуры,3комнаты,22апр.
370 $,1 175 BYN,Масюковщина,1комната,22апр.
270 $,858 BYN,Могилёвская,2комнаты,22апр.
380 $,1 207 BYN,Партизанская,2комнаты,22апр.
409 $,1 300 BYN,Пушкинская,2комнаты,21апр.
230 $,731 BYN,Могилёвская,2комнаты,21апр.
240 $,762 BYN,Малиновка,1комната,20апр.
500 $,1 588 BYN,Малиновка,1комната,19апр.
390 $,1 239 BYN,,2комнаты,19апр.
320 $,1 017 BYN,Партизанская,1комната,18апр.
420 $,1 334 BYN,Зелёныйлуг,2комнаты,17апр.
327 $,1 040 BYN,Могилёвская,1комната,17апр.
350 $,1 112 BYN,Грушевка,2комнаты,15апр.
1 000 $,3 177 BYN,Восток,4комнаты,15апр.
450 $,1 430 BYN,МинскМир,2комнаты,15апр.
270 $,858 BYN,Автозаводская,2комнаты,15апр.
400 $,1 271 BYN,ПлощадьЯкубаКоласа,1комната,15апр.
236 $,750 BYN,Спортивная,1комната,15апр.
200 $,635 BYN,Боровляны,1комната,15апр.
200 $,635 BYN,Московская,1комната,14апр.
297 $,945 BYN,Кунцевщина,1комната,14апр.
330 $,1 048 BYN,Михалово,1комната,13апр.
161 $,510 BYN,,1комната,13апр.
773 $,2 455 BYN,ПаркЧелюскинцев,2комнаты,12апр.
320 $,1 017 BYN,КовальскаяСлобода,1комната,12апр.
270 $,858 BYN,Центр,1комната,12апр.
300 $,953 BYN,Лошица,1комната,11апр.
420 $,1 334 BYN,КовальскаяСлобода,2комнаты,11апр.
310 $,985 BYN,ПлощадьЛенина,1комната,10апр.
270 $,858 BYN,Автозаводская,2комнаты,10апр.
500 $,1 588 BYN,Молодёжная,2комнаты,9апр.
346 $,1 100 BYN,ПлощадьЛенина,2комнаты,8апр.
560 $,1 779 BYN,Фрунзенская,4комнаты,8апр.
350 $,1 112 BYN,Серебрянка,2комнаты,8апр.
450 $,1 430 BYN,Восток,1комната,7апр.
362 $,1 150 BYN,Малиновка,2комнаты,7апр.
400 $,1 271 BYN,Грушевка,1комната,6апр.
350 $,1 112 BYN,КовальскаяСлобода,1комната,6апр.
135 $,429 BYN,Кунцевщина,2комнаты,6апр.
200 $,635 BYN,ПаркЧелюскинцев,1комната,6апр.
279 $,885 BYN,ПлощадьЯкубаКоласа,2комнаты,5апр.
360 $,1 144 BYN,КовальскаяСлобода,1комната,4апр.
300 $,953 BYN,Немига,1комната,3апр.
310 $,985 BYN,Академиянаук,3комнаты,3апр.
1 400 $,4 448 BYN,Фрунзенская,3комнаты,3апр.
450 $,1 430 BYN,Чижовка,2комнаты,3апр.
252 $,800 BYN,Институткультуры,2комнаты,2апр.
380 $,1 207 BYN,КовальскаяСлобода,1комната,2апр.
200 $,635 BYN,Уручье,1комната,2апр.
79 $,250 BYN,Аэродромная,3комнаты,2апр.
350 $,1 112 BYN,Каменнаягорка,2комнаты,1апр.
305 $,970 BYN,ПлощадьЯкубаКоласа,1комната,1апр.
500 $,1 588 BYN,Академиянаук,2комнаты,1апр.
393 $,1 250 BYN,Спортивная,1комната,1апр.
205 $,650 BYN,Академиянаук,1комната,30марта
180 $,572 BYN,Пушкинская,2комнаты,29марта
310 $,985 BYN,ПлощадьЛенина,1комната,29марта
250 $,794 BYN,ПаркЧелюскинцев,1комната,29марта
350 $,1 112 BYN,Центр,2комнаты,27марта
403 $,1 280 BYN,Октябрьская/Купаловская,2комнаты,26марта
550 $,1 747 BYN,Малиновка,2комнаты,25марта
120 $,380 BYN,,2комнаты,25марта
280 $,890 BYN,Малиновка,2комнаты,24марта
400 $,1 271 BYN,ПаркЧелюскинцев,2комнаты,24марта
550 $,1 747 BYN,КовальскаяСлобода,3комнаты,23марта
370 $,1 175 BYN,КовальскаяСлобода,1комната,22марта
236 $,750 BYN,Каменнаягорка,1комната,21марта
38 $,120 BYN,Могилёвская,3комнаты,21марта
526 $,1 670 BYN,Восток,3комнаты,20марта
820 $,2 604 BYN,ПлощадьПобеды,2комнаты,19марта
400 $,1 271 BYN,"Червякова,Шевченко",2комнаты,19марта
650 $,2 065 BYN,Уручье,3комнаты,19марта
151 $,480 BYN,ПлощадьПобеды,2комнаты,18марта
275 $,874 BYN,Партизанская,2комнаты,18марта
350 $,1 112 BYN,Уручье,2комнаты,17марта
500 $,1 588 BYN,Аэродромная,2комнаты,17марта
300 $,953 BYN,Комаровка,1комната,16марта
250 $,794 BYN,Институткультуры,2комнаты,14марта
922 $,2 930 BYN,Московская,2комнаты,14марта
330 $,1 048 BYN,Партизанская,2комнаты,14марта
300 $,953 BYN,ПлощадьПобеды,2комнаты,14марта
700 $,2 224 BYN,,3комнаты,14марта
320 $,1 017 BYN,Малиновка,2комнаты,12марта
350 $,1 112 BYN,Серебрянка,2комнаты,11марта
405 $,1 288 BYN,Каменнаягорка,2комнаты,10марта
1 100 $,3 495 BYN,Московская,3комнаты,7марта
101 $,320 BYN,Институткультуры,1комната,6марта
380 $,1 207 BYN,Спортивная,2комнаты,5марта
420 $,1 334 BYN,,2комнаты,5марта
600 $,1 906 BYN,,3комнаты,5марта
164 $,520 BYN,,1комната,2марта
350 $,1 112 BYN,Шабаны,2комнаты,2марта
405 $,1 288 BYN,Каменнаягорка,2комнаты,2марта
406 $,1 290 BYN,Грушевка,1комната,29февр.
270 $,858 BYN,Комаровка,2комнаты,28февр.
472 $,1 500 BYN,Академиянаук,3комнаты,23февр.
410 $,1 302 BYN,Академиянаук,2комнаты,22февр.
1 717 $,5 454 BYN,Октябрьская/Купаловская,3комнаты,22февр.
820 $,2 604 BYN,Юбилейнаяплощадь,3комнаты,22февр.
599 $,1 903 BYN,Грушевка,2комнаты,21февр.
465 $,1 477 BYN,Малиновка,1комната,19февр.
350 $,1 112 BYN,Уручье,2комнаты,18февр.
478 $,1 519 BYN,Грушевка,1комната,15февр.
420 $,1 334 BYN,Академиянаук,2комнаты,12февр.
270 $,858 BYN,Грушевка,1комната,10февр.
313 $,995 BYN,ПлощадьЛенина,1комната,9февр.
1 717 $,5 454 BYN,Юбилейнаяплощадь,4комнаты,8февр.
161 $,510 BYN,Академиянаук,1комната,3февр.
353 $,1 120 BYN,Уручье,1комната,1февр.
350 $,1 112 BYN,Уручье,2комнаты,1февр.
353 $,1 120 BYN,Уручье,1комната,1февр.
300 $,953 BYN,Грушевка,1комната,31янв.
280 $,890 BYN,Могилёвская,2комнаты,30янв.
582 $,1 850 BYN,Московская,2комнаты,27янв.
327 $,1 040 BYN,Грушевка,2комнаты,25янв.
195 $,620 BYN,Могилёвская,2комнаты,15янв.
252 $,800 BYN,Сухарево,1комната,13янв.
277 $,880 BYN,Петровщина,1комната,13янв.
1 025 $,3 255 BYN,,3комнаты,11янв.
654 $,2 077 BYN,Восток,2комнаты,10янв.
2 049 $,6 510 BYN,Лебяжий,4комнаты,10янв.
274 $,870 BYN,Грушевка,1комната,7янв.
283 $,900 BYN,ПлощадьЛенина,2комнаты,29.12.23
302 $,959 BYN,Могилёвская,1комната,27.12.23
276 $,877 BYN,Каменнаягорка,1комната,25.12.23
806 $,2 560 BYN,Восток,2комнаты,19.12.23
806 $,2 560 BYN,Октябрьская/Купаловская,2комнаты,18.12.23
820 $,2 604 BYN,Уручье,2комнаты,13.12.23
346 $,1 100 BYN,Аэродромная,1комната,12.12.23
488 $,1 550 BYN,,2комнаты,09.12.23
800 $,2 542 BYN,Академиянаук,3комнаты,07.12.23
299 $,950 BYN,Серебрянка,1комната,05.12.23
236 $,750 BYN,Партизанская,2комнаты,30.11.23
378 $,1 200 BYN,Тракторныйзавод,2комнаты,28.11.23
850 $,2 700 BYN,,4комнаты,27.11.23
167 $,530 BYN,Тракторныйзавод,1комната,27.11.23
378 $,1 200 BYN,Партизанская,2комнаты,23.11.23
636 $,2 020 BYN,Пушкинская,4комнаты,22.11.23
1 250 $,3 971 BYN,,3комнаты,20.11.23
390 $,1 238 BYN,Кунцевщина,2комнаты,20.11.23
1 200 $,3 812 BYN,,4комнаты,20.11.23
472 $,1 500 BYN,Петровщина,2комнаты,17.11.23
331 $,1 050 BYN,Немига,1комната,16.11.23
331 $,1 050 BYN,Немига,1комната,16.11.23
551 $,1 750 BYN,Академиянаук,2комнаты,10.11.23
315 $,1 000 BYN,Каменнаягорка,2комнаты,08.11.23
331 $,1 050 BYN,Каменнаягорка,1комната,05.11.23
567 $,1 800 BYN,Аэродромная,3комнаты,04.11.23
302 $,960 BYN,Восток,2комнаты,03.11.23
288 $,916 BYN,Каменнаягорка,1комната,01.11.23
299 $,950 BYN,Партизанская,2комнаты,26.10.23
423 $,1 344 BYN,Аэродромная,2комнаты,23.10.23
268 $,850 BYN,Могилёвская,1комната,22.10.23
307 $,975 BYN,ПлощадьПобеды,1комната,20.10.23
271 $,860 BYN,Автозаводская,3комнаты,19.10.23
364 $,1 155 BYN,Могилёвская,3комнаты,18.10.23
346 $,1 100 BYN,ПлощадьЛенина,2комнаты,08.10.23
261 $,830 BYN,Малиновка,1комната,08.10.23
850 $,2 700 BYN,ПаркЧелюскинцев,3комнаты,08.10.23
315 $,1 000 BYN,,1комната,04.10.23
220 $,700 BYN,Партизанская,1комната,04.10.23
699 $,2 220 BYN,Михалово,3комнаты,03.10.23
1 239 $,3 935 BYN,Академиянаук,4комнаты,30.09.23
305 $,970 BYN,Уручье,1комната,29.09.23
257 $,817 BYN,КовальскаяСлобода,1комната,28.09.23
410 $,1 304 BYN,Грушевка,1комната,27.09.23
378 $,1 200 BYN,Уручье,2комнаты,27.09.23
252 $,800 BYN,Могилёвская,1комната,26.09.23
315 $,1 000 BYN,Серебрянка,3комнаты,20.09.23
410 $,1 302 BYN,Степянка,2комнаты,18.09.23
85 $,270 BYN,,3комнаты,17.09.23
346 $,1 100 BYN,Аэродромная,1комната,16.09.23
362 $,1 150 BYN,Малиновка,2комнаты,15.09.23
409 $,1 300 BYN,Кунцевщина,2комнаты,13.09.23
315 $,1 000 BYN,Немига,1комната,13.09.23
264 $,840 BYN,Восток,1комната,11.09.23
290 $,920 BYN,Могилёвская,1комната,09.09.23
1 240 $,3 939 BYN,ПлощадьПобеды,2комнаты,08.09.23
315 $,1 000 BYN,Петровщина,1комната,06.09.23
277 $,880 BYN,Каменнаягорка,1комната,06.09.23
304 $,965 BYN,ПлощадьЯкубаКоласа,2комнаты,05.09.23
362 $,1 150 BYN,Петровщина,1комната,04.09.23
323 $,1 025 BYN,Каменнаягорка,2комнаты,03.09.23
252 $,800 BYN,Спортивная,1комната,02.09.23
127 $,403 BYN,Пушкинская,2комнаты,02.09.23
504 $,1 600 BYN,Михалово,3комнаты,02.09.23
458 $,1 454 BYN,Грушевка,1комната,01.09.23
346 $,1 100 BYN,ПлощадьПобеды,1комната,01.09.23
359 $,1 140 BYN,Партизанская,3комнаты,27.08.23
315 $,1 000 BYN,Каменнаягорка,3комнаты,22.08.23
331 $,1 050 BYN,Молодёжная,1комната,22.08.23
299 $,950 BYN,ПлощадьЯкубаКоласа,1комната,22.08.23
252 $,800 BYN,Дражня,1комната,21.08.23
280 $,890 BYN,Каменнаягорка,2комнаты,21.08.23
837 $,2 660 BYN,Московская,2комнаты,21.08.23
378 $,1 200 BYN,Каменнаягорка,1комната,20.08.23
293 $,930 BYN,ПлощадьПобеды,2комнаты,19.08.23
274 $,870 BYN,Уручье,1комната,17.08.23
